,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
478,beidao,cn,34.57,105.89,38.46,66,0,1.19
479,pangody,ru,65.85,74.49,7.28,75,24,11.36
480,la union,es,14.97,-89.29,76.8,63,44,3.42
481,nanortalik,gl,60.14,-45.24,23.25,100,0,42.46
482,tawang,in,27.59,91.87,34.28,62,76,0.74
483,samusu,ws,,,,,,
484,palmer,us,-34.85,139.16,68,32,0,20.8
485,nyurba,ru,63.29,118.35,13.49,57,0,7.11
486,boa vista,br,2.82,-60.67,87.8,52,0,9.17
487,bathsheba,bb,13.22,-59.52,78.8,78,40,14.99
488,poum,nc,41.28,20.71,35.13,99,92,1.86
489,nanhai,cn,30.13,111.78,58.35,90,0,2.75
490,baranain,es,42.81,-1.68,41,100,20,2.24
491,bulalacao,ph,13.7,123.78,75.81,100,88,12.82
492,kavakli,tr,41.09,28.33,50.04,100,75,9.17
493,praya,id,-8.71,116.27,84.2,79,20,3.36
494,burnie,au,-41.05,145.91,58.04,100,64,9.46
495,inirida,co,3.87,-67.92,76.35,86,68,1.19
496,warwick,au,41.7,-71.42,34.72,43,1,6.93
497,sao jose da coroa grande,br,-8.9,-35.15,76.4,96,92,4.09
498,toora-khem,ru,52.47,96.11,18.44,76,64,1.74
499,flin flon,ca,54.77,-101.88,35.63,69,0,10.25
500,constitucion,mx,23.99,-104.67,80.6,8,5,14.99
501,tilichiki,ru,60.47,166.1,5.43,82,0,3.98
502,ust-koksa,ru,50.27,85.62,23.25,82,80,2.19
503,shubarshi,kz,48.59,57.19,17.9,72,0,4.43
504,nampa,us,43.57,-116.56,49.68,31,1,8.05
505,laguna,br,27.52,-110.01,66.2,34,90,5.82
506,ucluelet,ca,48.94,-125.55,46.4,100,90,3.36
507,luoyang,cn,34.66,112.42,56.24,62,0,5.21
508,lorengau,pg,-2.02,147.27,83.1,98,44,8.46
509,luanda,ao,-8.83,13.24,80.6,88,75,3.36
510,mookane,bw,-23.68,26.66,64.7,92,12,8.68
511,bijie,cn,27.3,105.3,50.3,99,92,2.86
512,ulaangom,mn,49.98,92.07,22.58,57,24,5.88
513,launceston,au,-41.43,147.14,55.4,50,64,5.82
514,zhangjiakou,cn,40.77,114.88,40.31,76,0,3.09
515,luena,ao,-11.78,19.91,61.86,92,24,2.64
516,roros,no,62.57,11.38,-13.01,91,0,2.24
517,quatre cocos,mu,-20.21,57.76,78.33,83,64,5.77
518,rio branco,uy,-9.98,-67.82,69.8,88,75,8.05
519,pag,hr,44.45,15.06,32,100,0,3.36
520,bolshoy tsaryn,ru,,,,,,
521,lompoc,us,34.64,-120.46,61.47,29,1,11.41
522,samarai,pg,-10.62,150.67,82.38,100,24,4.76
523,fuerte olimpo,py,-21.04,-57.87,69.56,72,32,6.67
524,semnan,ir,35.58,53.39,55.38,48,0,5.99
525,makakilo city,us,21.35,-158.09,80.62,61,20,11.41
526,port-gentil,ga,-0.72,8.78,80.22,100,56,7.45
527,grand gaube,mu,-20.01,57.66,79.91,100,48,8.79
528,timra,se,62.49,17.33,10.4,66,0,4.7
529,qingdao,cn,36.09,120.35,64.4,63,0,11.18
530,zitlala,mx,17.69,-99.19,76.71,39,8,3.2
531,bulawayo,zw,-20.16,28.59,64.92,100,92,11.81
532,belyy yar,ru,53.6,91.39,24.8,85,56,2.24
533,pozo colorado,py,-23.49,-58.8,65.51,72,80,5.99
534,gilgit,pk,35.92,74.31,24.15,97,80,0.29
535,salmas,ir,38.2,44.77,42.8,52,0,6.93
536,istmina,co,5.16,-76.69,84.2,79,75,1.07
537,skorodnoye,ru,51.07,37.24,26.6,73,75,6.71
538,san clemente,pe,33.43,-117.61,66.22,51,1,12.75
539,chilchotla,mx,19.25,-97.18,70.46,36,8,3.09
540,chom bung,th,,,,,,
541,rocha,uy,-34.48,-54.34,55.02,71,0,7.34
542,broken hill,au,-31.97,141.45,65.01,45,0,7.56
543,anadyr,ru,64.73,177.51,5,84,90,11.18
544,shepsi,ru,44.04,39.15,56.01,78,88,18.3
545,tiznit,ma,29.7,-9.73,59.03,81,0,3.87
546,new glasgow,ca,45.59,-62.65,24.51,74,0,6.78
547,vagur,fo,61.47,-6.81,42.06,100,32,32.17
548,airai,pw,-8.93,125.41,73.02,90,24,0.4
549,fairbanks,us,64.84,-147.72,30.2,26,1,11.41
550,santa maria,cv,-29.69,-53.81,68,77,75,10.29
551,strezhevoy,ru,60.73,77.6,21.2,85,75,17.9
552,merauke,id,-8.49,140.4,81.44,94,68,14.16
553,ballina,au,54.11,-9.15,50.16,94,88,17.29
554,imeni zhelyabova,ru,58.95,36.6,9.89,68,0,5.99
555,mindelo,cv,41.31,-8.72,54.68,93,75,1.63
556,golden,us,51.3,-116.96,41,44,90,12.75
557,mudigere,in,13.13,75.64,67.85,66,0,1.74
558,karangasem,id,-6.7,108.49,76.94,100,88,9.8
559,jaguaruana,br,-4.83,-37.78,73.16,98,88,1.63
560,ruteng,id,-8.61,120.46,76.08,92,20,3.65
561,port hedland,au,-20.31,118.58,93.2,32,0,4.7
562,mayo,ca,63.59,-135.9,17.6,26,5,8.05
563,tirumullaivasal,in,11.24,79.84,76.4,99,92,1.86
564,felanitx,es,39.47,3.15,51.8,66,20,3.36
565,cabedelo,br,-6.97,-34.84,78.8,83,75,4.7
566,chake chake,tz,-5.25,39.77,80.67,100,80,5.21
567,alice springs,au,-23.7,133.88,71.6,30,0,13.87
568,santa rosa,ar,-36.62,-64.29,63.8,40,12,11.25
569,shetpe,kz,44.14,52.16,32.39,72,56,5.66
570,lobito,ao,-12.35,13.55,72.44,98,92,0.96
571,mansfield,gb,32.56,-97.14,81.05,47,40,17.22
572,mandalgovi,mn,45.76,106.27,48.9,54,8,18.52
573,terrace,ca,54.52,-128.61,35.6,93,90,9.17
574,odder,dk,55.98,10.15,33.8,100,64,8.05
575,ijaki,ki,,,,,,
576,ust-tsilma,ru,65.44,52.15,-0.06,64,48,6.11
577,maningrida,au,-12.05,134.23,81.48,100,0,3.87
578,rapid valley,us,44.06,-103.15,31.42,86,90,10.29
579,martapura,id,-3.41,114.85,74.6,100,56,5.21
580,fort nelson,ca,58.81,-122.69,14,51,90,2.24
581,kalemie,cd,-5.95,29.2,77.88,97,48,2.75
582,turayf,sa,31.68,38.65,60.8,38,0,18.34
583,phan thiet,vn,10.93,108.1,77.25,92,0,10.47
584,fairview,ca,40.81,-74,38.86,64,1,4.7
585,madimba,tz,4.42,9.93,77,94,75,3.36
586,sarkhej,in,22.98,72.5,73.4,35,12,2.98
587,huarmey,pe,-10.07,-78.15,69.11,75,24,3.65
588,abu samrah,qa,35.3,37.18,49.94,65,0,2.75
589,oshogbo,ng,,,,,,
590,necochea,ar,-38.55,-58.74,53.85,75,56,8.12
591,pasto,co,1.21,-77.28,58.17,74,24,0.74
592,khormuj,ir,,,,,,
593,narsaq,gl,60.91,-46.05,14,43,0,6.93
594,orlik,ru,52.51,99.83,16.1,82,56,3.2
595,najran,sa,17.54,44.22,62.6,29,0,3.2
596,palauig,ph,15.44,119.9,76.62,89,0,2.75
597,eloy,us,32.76,-111.56,71.08,16,1,16.11
598,khorramabad,ir,33.48,48.35,46.4,52,0,4.7
599,teguise,es,29.06,-13.56,60.8,77,20,20.8
600,bilibino,ru,68.06,166.44,-2.49,69,0,3.2
601,hayden,us,47.77,-116.79,38.64,81,90,4.7
602,colares,pt,38.8,-9.45,52.57,81,20,16.11
603,waddan,ly,29.16,16.14,48.5,38,0,6.67
604,enterprise,us,31.32,-85.86,53.64,81,90,9.17
605,lautaro,cl,-38.53,-72.44,53.09,80,12,5.1
606,porto santo,pt,,,,,,
607,la romana,do,18.43,-68.97,75.54,100,20,4.7
608,kasongo-lunda,cd,-6.48,16.82,72.08,92,32,2.08
609,zeya,ru,53.74,127.27,30.36,50,0,7
610,husavik,is,50.56,-96.99,32.52,97,64,5.44
611,la huerta,mx,25.51,-107.76,87.38,18,24,4.43
612,puerto baquerizo moreno,ec,-0.9,-89.6,82.4,74,40,8.05
613,arvika,se,59.65,12.59,15.8,66,0,5.82
614,garut,id,-7.22,107.9,66.41,98,68,1.97
615,honiara,sb,-9.43,159.96,86,70,40,4.7
616,saint-georges,gf,46.12,-70.67,27.66,63,0,3.76
617,maniitsoq,gl,65.42,-52.9,-6.36,87,0,6.22
618,ngukurr,au,,,,,,
619,curup,id,-3.47,102.53,67.53,93,20,1.86
620,nova olimpia,br,-14.8,-57.29,70.32,88,76,4.43
621,gashua,ng,12.87,11.04,74.6,40,0,5.21
622,bac lieu,vn,,,,,,
623,henties bay,na,-22.12,14.28,62.54,100,8,3.2
624,vestbygda,no,,,,,,
625,gigmoto,ph,13.78,124.39,75.23,100,88,13.27
626,kiruna,se,67.86,20.23,12.2,72,44,5.82
627,nouadhibou,mr,20.93,-17.03,64.4,77,24,13.87
628,zachagansk,kz,,,,,,
629,calbuco,cl,-41.77,-73.13,57.2,82,75,4.7
630,moose factory,ca,51.26,-80.61,39.2,44,90,2.24
631,bilma,ne,18.69,12.92,63.8,33,8,2.19
632,oktyabrskiy,ru,55.61,37.97,33.8,86,75,8.95
633,kalangala,ug,-0.32,32.29,73.4,83,20,6.93
634,mareeba,au,-16.99,145.42,77,94,75,10.29
635,nigran,es,42.14,-8.81,50,100,75,5.82
636,arlit,ne,18.74,7.39,61.19,31,0,4.09
637,malakal,sd,,,,,,
638,tena,ec,-0.99,-77.82,61.01,97,68,2.75
639,acarau,br,,,,,,
640,nhulunbuy,au,-12.18,136.78,86,74,20,8.05
641,petauke,zm,-14.25,31.33,69.11,82,32,2.98
642,rawannawi,ki,,,,,,
643,marovoay,mg,-16.11,46.64,80.6,88,20,3.42
644,sotouboua,tg,8.56,0.98,81.03,57,8,8.79
645,campbellsville,us,37.34,-85.34,54.1,58,90,9.91
646,houlton,us,46.13,-67.84,26.6,53,1,4.21
647,itzican,mx,,,,,,
648,invermere,ca,50.51,-116.03,33.83,47,80,1.97
649,changqing,cn,31.81,117.24,60.8,82,0,8.95
650,teshie,gh,5.58,-0.11,82.79,96,64,14.72
651,orocue,co,4.79,-71.34,91.88,35,80,6.55
652,kindu,cd,-2.95,25.92,75.45,87,32,1.74
653,port macquarie,au,-31.43,152.91,71.6,53,75,6.93
654,karkaralinsk,kz,,,,,,
655,alugan,ph,12.22,125.48,79.95,95,68,12.71
656,sibolga,id,1.74,98.78,67.4,100,56,2.08
657,zhireken,ru,52.82,117.29,31.53,63,92,5.21
658,johnston,us,41.67,-93.7,37.85,100,90,5.82
659,cajueiro,br,-9.4,-36.15,77,88,0,4.7
660,verkhoyansk,ru,67.55,133.39,3.81,68,20,2.19
661,gat,ly,14.69,-16.54,80.6,44,88,2.24
662,camacha,pt,33.08,-16.33,60.03,67,75,16.11
663,deputatskiy,ru,69.3,139.9,-6.9,83,32,3.76
664,ilhabela,br,-23.78,-45.36,77.97,100,8,1.19
665,bawku,gh,11.06,-0.24,73.02,54,0,2.75
666,glenwood springs,us,39.55,-107.33,38.59,73,75,10.29
667,gurupi,br,-11.73,-49.07,72.44,91,92,4.99
668,putina,pe,-14.91,-69.87,39.18,58,44,4.76
669,namatanai,pg,-3.66,152.44,83.69,99,32,2.64
670,agbor,ng,6.26,6.15,76.62,86,0,5.66
671,trinidad,uy,-33.52,-56.9,57.5,71,0,8.23
672,manacapuru,br,-3.3,-60.62,80.85,83,8,3.76
673,kloulklubed,pw,7.04,134.26,83.25,74,90,12.75
674,velon,gr,,,,,,
675,waingapu,id,-9.65,120.26,80.36,82,12,4.99
676,tsihombe,mg,,,,,,
677,sobral,br,-3.69,-40.35,74.01,96,80,2.53
678,lubango,ao,-14.92,13.49,66.41,97,80,1.86
679,chkalovskoye,ru,,,,,,
680,luz,br,-19.79,-45.68,69.74,61,20,7
681,maralal,ke,1.1,36.7,54.21,90,48,2.53
682,petrozavodsk,ru,61.79,34.39,8.6,84,36,4.47
683,bronnoysund,no,65.46,12.2,24.8,92,88,4.7
684,erzin,ru,36.95,36.2,53.31,66,0,5.82
685,pecos,us,31.42,-103.49,72.3,25,1,8.05
686,black diamond,ca,50.69,-114.23,41.94,44,1,19.46
687,dingle,ie,11,122.67,78.38,67,8,10.02
688,pangoa,pe,-12.12,-73,64.25,93,92,1.97
689,haicheng,cn,40.85,122.74,49.94,62,32,7.45
690,marcona,pe,,,,,,
691,balakhninskiy,ru,58.01,114.28,13.76,78,0,3.98
692,phonhong,la,18.5,102.42,73.4,73,75,4.7
693,vanimo,pg,-2.67,141.3,79.41,100,44,1.74
694,pochutla,mx,15.74,-96.47,83.14,100,40,11.41
695,valley city,us,46.92,-98,32.2,100,90,4.21
696,tongsa,bt,,,,,,
697,coahuayana,mx,18.62,-100.35,85.76,28,0,2.98
698,kathu,th,-27.7,23.05,50.39,52,0,4.65
699,polunochnoye,ru,60.87,60.43,9.57,68,0,8.68
700,ruwi,om,23.6,58.55,75.2,47,0,1.12
701,kaspiyskiy,ru,45.39,47.37,37.11,95,36,10.36
702,emet,tr,39.34,29.26,45.12,72,48,10.02
703,east angus,ca,45.48,-71.66,33.8,31,1,2.24
704,ochsenfurt,de,49.67,10.07,38.61,100,20,2.64
705,ouesso,cg,1.61,16.05,73.25,99,68,2.19
706,wuwei,cn,37.93,102.64,36.26,36,0,8.57
707,moerai,pf,-22.43,-151.33,82.34,99,56,10.92
708,tir pol,af,,,,,,
709,carballo,es,43.21,-8.69,49.93,93,92,3.36
710,hay river,ca,60.82,-115.79,5,45,40,4.7
711,shahr-e babak,ir,30.12,55.12,42.83,48,0,3.65
712,omsukchan,ru,62.53,155.8,0.8,85,44,3.76
713,yabrud,sy,33.97,36.66,57.2,41,0,6.93
714,tessalit,ml,20.2,1.01,54.26,29,0,2.75
715,wattegama,lk,7.35,80.68,67.62,95,48,2.75
716,berlevag,no,70.86,29.09,25.91,100,80,16.96
717,borogontsy,ru,62.67,131.17,19.02,79,48,5.21
718,pinega,ru,64.7,43.39,-6.23,72,0,2.42
719,colorado springs,us,38.83,-104.83,43.92,27,90,16.11
720,te anau,nz,-45.41,167.72,55.7,75,92,14.72
721,trabzon,tr,41.01,39.72,53.6,93,75,3.36
722,anchorage,us,61.22,-149.89,33.8,34,40,9.17
723,dolbeau,ca,,,,,,
724,rosario oeste,br,-14.84,-56.43,69.51,94,80,4.09
725,igarka,ru,67.47,86.57,5.52,74,76,13.6
726,megion,ru,61.04,76.11,21.2,85,75,17.9
727,pingzhuang,cn,,,,,,
728,hollister,us,36.85,-121.4,62.17,36,1,9.17
729,konstantinovka,ru,47.99,28.86,34.05,99,80,5.1
730,zyryanka,ru,65.73,150.89,7.01,69,64,3.76
731,qandala,so,11.47,49.87,61.46,100,0,1.74
732,ulaanbaatar,mn,47.92,106.92,42.8,60,40,15.66
733,shaartuz,tj,,,,,,
734,tolga,no,34.73,5.38,53.6,58,40,11.41
735,sayabec,ca,,,,,,
736,kyzyl-suu,kg,42.34,78,35.85,100,92,5.21
737,zhangye,cn,38.94,100.46,35.36,65,0,9.13
738,lata,sb,30.78,78.62,45.03,39,0,3.42
739,port moresby,pg,-9.47,147.16,77.52,100,88,14.05
740,divicani,ba,44.37,17.33,32,85,80,1.12
741,irbeyskoye,ru,55.64,95.45,20.51,88,64,9.01
742,plyussa,ru,58.42,29.37,11.96,81,0,4.65
743,santander,es,9.42,123.33,80.6,78,20,20.8
744,viransehir,tr,37.24,39.76,50.75,56,0,9.13
745,lamu,ke,0.57,122.3,75.5,100,44,2.19
746,khandyga,ru,62.65,135.58,26,92,88,2.98
747,jiangyan,cn,32.51,120.12,58.35,75,0,7.9
748,ouegoa,nc,-20.34,164.44,77.39,98,92,12.93
749,guazapa,sv,13.88,-89.17,84.94,69,0,2.24
750,cockburn town,bs,21.46,-71.14,74.6,100,76,16.4
751,petropavlovsk-kamchatskiy,ru,53.05,158.65,30.2,46,0,2.19
752,raudeberg,no,61.99,5.14,28.31,74,88,10.29
753,el mante,mx,20.61,-103.43,87.8,8,5,11.41
754,methoni,gr,36.82,21.7,53.6,87,75,13.71
755,dzhebariki-khaya,ru,62.22,135.8,26,92,88,2.98
756,casablanca,ma,33.6,-7.62,51.8,100,40,9.17
757,christchurch,nz,-43.53,172.64,77,47,0,18.34
758,thatta,pk,31.7,74.64,63.27,72,20,3.2
759,beloha,mg,-25.17,45.06,70.41,92,8,7.9
760,mabaruma,gy,8.2,-59.78,79.68,81,80,8.46
761,dese,et,45.53,12.3,49.91,71,75,5.82
762,linguere,sn,,,,,,
763,payo,ph,-3.75,103.64,73.11,97,80,4.65
764,mitsamiouli,km,-11.38,43.28,79.77,100,8,2.3
765,marsabit,ke,2.34,37.99,71.31,91,8,6.44
766,soe,id,57.91,26.05,21.2,57,0,3.36
767,dibulla,co,11.27,-73.31,83.33,75,76,13.15
768,mokhsogollokh,ru,61.4,128.95,22.8,82,76,7.23
769,vilyuysk,ru,63.75,121.63,17.4,67,80,8.9
770,russell,nz,-33.01,-68.8,64.4,52,0,2.3
771,karasjok,no,69.47,25.52,23,79,75,16.11
772,rafai,cf,4.95,23.92,73.61,84,64,7.45
773,richards bay,za,-28.77,32.06,61.77,99,0,3.2
774,norfolk,us,36.85,-76.29,40.46,69,90,10.29
775,ryotsu,jp,38.08,138.43,57.2,47,0,6.93
776,makanya,tz,-4.36,37.82,66.68,100,80,2.42
777,barddhaman,in,23.25,87.85,63.03,66,0,2.75
778,neiafu,to,-18.65,-173.98,82.4,83,75,4.7
779,ginda,er,30.69,78.49,45.03,39,0,3.42
780,tsiroanomandidy,mg,-18.77,46.05,61.73,92,0,0.18
781,maragogi,br,-9.01,-35.22,76.4,96,92,4.09
782,rovinj,hr,45.08,13.64,47.28,57,0,8.05
783,vranjska banja,rs,42.56,21.99,35.09,100,92,1.63
784,zhanatas,kz,,,,,,
785,ternate,id,14.29,120.72,78.8,74,40,2.24
786,belmonte,br,40.36,-7.35,40.31,89,0,3.98
787,grandview,us,38.89,-94.53,54.18,100,90,5.82
788,sinop,tr,42.03,35.15,50.93,92,20,6.89
789,lincoln,nz,40.8,-96.67,41,86,90,9.17
790,niamey,ne,13.52,2.11,82.4,7,0,4.7
791,pangkalanbuun,id,-2.68,111.62,77.07,93,12,4.21
792,ashcroft,ca,-33.91,150.9,68.86,40,0,5.82
793,rincon,an,32.3,-81.24,53.62,62,90,3.36
794,ivolginsk,ru,51.75,107.28,33.8,74,75,15.66
795,karauzyak,uz,,,,,,
796,koumac,nc,-20.56,164.28,77.39,98,92,12.93
797,rawson,ar,-43.3,-65.11,66.9,25,20,10.47
798,coralici,ba,45.01,15.87,26.63,82,24,1.74
799,kamien pomorski,pl,53.97,14.77,30.2,100,75,4.7
800,mikhaylovka,kz,52.96,103.29,27.44,79,48,8.46
801,saint anthony,ca,43.97,-111.68,35.69,69,90,3.36
802,uray,ru,60.13,64.8,17.81,72,0,8.68
803,cooma,au,-36.24,149.13,55.92,74,0,3.42
804,vanavara,ru,60.35,102.28,5.16,73,0,2.75
805,okha,ru,53.59,142.95,30.81,91,36,19.42
806,tautira,pf,-17.73,-149.15,87.8,62,75,8.05
807,gangotri,in,,,,,,
808,tahta,eg,,,,,,
809,sinnamary,gf,5.38,-52.96,79.28,97,92,10.13
810,high rock,bs,26.63,-78.28,69.38,100,88,25.23
811,sidi bu zayd,tn,,,,,,
812,koltubanovskiy,ru,52.94,52.03,24.83,93,80,12.26
813,taltal,cl,-25.41,-70.49,58.85,91,0,2.08
814,dunedin,nz,-45.87,170.5,72.57,57,88,15.5
815,sisimiut,gl,66.94,-53.67,-16.35,70,0,5.21
816,temaraia,ki,,,,,,
817,uravakonda,in,14.95,77.26,70.86,71,0,3.53
818,puno,pe,-15.84,-70.03,45.08,86,24,3.65
819,jacareacanga,br,-6.22,-57.76,80.58,77,8,3.76
820,aksu,cn,52.04,76.93,21.2,85,0,11.18
821,amazar,ru,53.86,120.88,25.91,56,92,3.2
822,dalen,no,52.7,6.76,37.4,93,20,3.87
823,bemidji,us,47.48,-94.89,29.59,92,90,6.93
824,liverpool,ca,53.41,-2.98,46.4,81,75,14.99
825,kazerun,ir,29.62,51.65,52.05,61,0,2.86
826,faya,td,18.39,42.45,56.32,30,0,5.82
827,aguimes,es,27.91,-15.45,62.6,72,20,26.4
828,campbell river,ca,50.02,-125.24,43.41,100,90,17.22
829,banos,ec,43.74,-0.62,45.79,93,0,5.82
830,olafsvik,is,,,,,,
831,ashta,in,16.95,74.41,64.56,71,0,2.64
832,qaqortoq,gl,60.72,-46.03,14,43,12,6.93
833,presidencia roque saenz pena,ar,-26.79,-60.44,59.93,80,0,8.46
834,prince rupert,ca,54.32,-130.32,42.8,93,90,12.75
835,beringovskiy,ru,63.05,179.32,14.52,100,80,21.77
836,eldikan,ru,,,,,,
837,puerto pinasco,py,,,,,,
838,elsfleth,de,53.24,8.46,31.48,100,56,1.12
839,vegreville,ca,53.5,-112.05,30,100,56,5.66
840,yaan,cn,7.38,8.57,81.12,70,0,12.48
841,hvammstangi,is,,,,,,
842,quelimane,mz,-17.88,36.89,80.6,88,20,2.24
843,fukue,jp,35.03,136.69,53.6,71,0,5.82
844,baiyin,cn,36.55,104.13,35.6,43,0,2.24
845,grand-lahou,ci,5.24,-5,76.76,93,8,5.21
846,saleaula,ws,,,,,,
847,dali,cn,25.6,100.24,45.35,100,92,2.64
848,stoyba,ru,,,,,,
849,markapur,in,15.74,79.27,66.72,94,24,1.97
850,gornopravdinsk,ru,60.06,69.92,28.34,85,92,11.81
851,hunza,pk,,,,,,
852,benguela,ao,-12.58,13.4,79.46,100,48,7.45
853,kidal,ml,18.44,1.41,59.3,26,0,7.9
854,ode,ng,7.79,5.71,74.37,82,12,7.23
855,nioki,cd,-2.72,17.69,77.84,86,32,3.2
856,san vicente,ph,13.64,-88.78,84.2,69,0,2.24
857,hickory,us,35.73,-81.34,48.58,42,90,3.36
858,tubuala,pa,9.52,-79.03,82.4,65,40,12.75
859,kharp,ru,66.82,65.8,-2.76,72,68,3.31
860,biaora,in,23.92,76.91,60.96,54,32,2.19
861,iquique,cl,-20.22,-70.14,69.8,73,75,13.87
862,liberal,us,37.04,-100.92,51.8,62,90,13.87
863,gamba,ga,28.28,88.52,9.12,74,32,7.23
864,pandan,ph,11.72,122.09,80.18,100,8,19.3
865,ladnun,in,27.64,74.39,58.4,41,0,2.64
866,jiangyin,cn,31.91,120.26,57.59,90,0,4.65
867,kaka,tm,37.35,59.62,48.27,84,20,2.64
868,dire,ml,9.18,38.92,51.8,54,0,9.17
869,kusk,af,,,,,,
870,kenora,ca,49.76,-94.48,32,76,40,4.88
871,alofi,nu,-19.06,-169.92,78.8,94,75,6.93
872,cashel,ie,52.52,-7.89,50.48,97,92,17.18
873,jumla,np,29.28,82.18,15.65,82,0,1.74
874,muisne,ec,0.61,-80.02,76.71,82,56,4.76
